id,group_id,reviewer,source,basis,num_observations,reference_id,p58_fragility,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,edp_metric,edp_unit,ds_rank,ds_description,median,beta,probability
C3021.001e-1,C3021.001e,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001e,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospital - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sheet vinyl. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001f-1,C3021.001f,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001f,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospital - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sheet vinyl. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001g-1,C3021.001g,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001g,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - School - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001h-1,C3021.001h,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001h,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - School - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001i-1,C3021.001i,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001i,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Apartments - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001j-1,C3021.001j,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001j,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Apartments - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001k-1,C3021.001k,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001k,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001l-1,C3021.001l,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001l,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001m-1,C3021.001m,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001m,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Warehouse - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sealed concrete. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001n-1,C3021.001n,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001n,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Warehouse - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sealed concrete. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001o-1,C3021.001o,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001o,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospitality - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3021.001p-1,C3021.001p,NIST,FEMA P-58,'',,FEM-2018-SEI,C3021.001p,C3021,Generic Floor Covering,'','','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospitality - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area.","Peak Floor Acceleration, horizontal",g,1,Flooding of all or a portion of the total floor associated with a major leakage of a pipe.,,,1.0
C3027.001-1,C3027.001,NIST,FEMA P-58,'',,FEM-2018-SEI,C3027.001,C3027,Raised Access Floor,'','','','',"Raised Access Floor, non seismically rated. - Access floor unanchored or anchored with adhesive. Costing is based upon a xxx SF floor area.","Peak Floor Acceleration, horizontal",g,1,Minor damage to the flooring system.  Damage to the equipment of the flooring system.,0.5,0.5,1.0
C3027.002-1,C3027.002,NIST,FEMA P-58,'',,FEM-2018-SEI,C3027.002,C3027,Raised Access Floor,'','','','',"Raised Access Floor, seismically rated. - Access floor is designed to meet code requirements and mechanically anchored and braced as necessary to resist anchor loads. Equipment is anchored to floor systems and heavier equipment is anchored directly to the structural floor. Costing is based upon a xxx SF floor area.","Peak Floor Acceleration, horizontal",g,1,Minor damage to the flooring system.  Damage to the equipment of the flooring system.,1.5,0.4,1.0
C3032.001a-1,C3032.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.17,0.25,1.0
C3032.001a-2,C3032.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.58,0.25,1.0
C3032.001a-3,C3032.001a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,1.82,0.25,1.0
C3032.001b-1,C3032.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): 250 < A < 1000, Vert support only - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.01,0.25,1.0
C3032.001b-2,C3032.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): 250 < A < 1000, Vert support only - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.45,0.25,1.0
C3032.001b-3,C3032.001b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): 250 < A < 1000, Vert support only - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,1.69,0.25,1.0
C3032.001c-1,C3032.001c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): 1000 < A < 2500, Vert support only - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,0.7,0.25,1.0
C3032.001c-2,C3032.001c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): 1000 < A < 2500, Vert support only - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.2,0.25,1.0
C3032.001c-3,C3032.001c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): 1000 < A < 2500, Vert support only - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,1.43,0.25,1.0
C3032.001d-1,C3032.001d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,0.56,0.25,1.0
C3032.001d-2,C3032.001d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.08,0.25,1.0
C3032.001d-3,C3032.001d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.001d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,1.31,0.25,1.0
C3032.003a-1,C3032.003a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.6,0.3,1.0
C3032.003a-2,C3032.003a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.95,0.3,1.0
C3032.003a-3,C3032.003a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,2.07,0.3,1.0
C3032.003b-1,C3032.003b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.47,0.3,1.0
C3032.003b-2,C3032.003b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.88,0.3,1.0
C3032.003b-3,C3032.003b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,2.03,0.3,1.0
C3032.003c-1,C3032.003c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.21,0.3,1.0
C3032.003c-2,C3032.003c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.75,0.3,1.0
C3032.003c-3,C3032.003c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,1.95,0.3,1.0
C3032.003d-1,C3032.003d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.09,0.3,1.0
C3032.003d-2,C3032.003d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,1.69,0.3,1.0
C3032.003d-3,C3032.003d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.003d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,1.91,0.3,1.0
C3032.004a-1,C3032.004a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.92,0.3,1.0
C3032.004a-2,C3032.004a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,2.34,0.3,1.0
C3032.004a-3,C3032.004a,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004a,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,2.48,0.3,1.0
C3032.004b-1,C3032.004b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.76,0.3,1.0
C3032.004b-2,C3032.004b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,2.26,0.3,1.0
C3032.004b-3,C3032.004b,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004b,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,2.44,0.3,1.0
C3032.004c-1,C3032.004c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.45,0.3,1.0
C3032.004c-2,C3032.004c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,2.1,0.3,1.0
C3032.004c-3,C3032.004c,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004c,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,2.34,0.3,1.0
C3032.004d-1,C3032.004d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,1,5 % of ceiling grid and tile damage.  ,1.31,0.3,1.0
C3032.004d-2,C3032.004d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,2,30% of ceiling grid and tile damage.,2.03,0.3,1.0
C3032.004d-3,C3032.004d,NIST,FEMA P-58,'',,FEM-2018-SEI,C3032.004d,C3032,Suspended Ceiling,'','','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling.","Peak Floor Acceleration, horizontal",g,3,50% of ceiling grid and tile damage.,2.29,0.3,1.0
C3034.001-1,C3034.001,NIST,FEMA P-58,'',,FEM-2018-SEI,C3034.001,C3034,Independent Pendant Lighting,'','','','',Independent Pendant Lighting - non seismic - Horizontal light fixtures 4 to 16 ft long suspended 12 to 24 inches from ceiling. No seismic design or bracing. Hung from ceiling above by two or more rods or cables.,"Peak Floor Acceleration, horizontal",g,1,"Disassembly of rod system at connections with horizontal light fixture, low cycle fatigue failure of the threaded rod, pullout of rods from ceiling assembly.",0.6,0.4,1.0
C3034.002-1,C3034.002,NIST,FEMA P-58,'',,FEM-2018-SEI,C3034.002,C3034,Independent Pendant Lighting,'','','','',Independent Pendant Lighting - seismically rated - Horizontal light fixtures 4 to 16 ft long suspended 12 to 24 inches from ceiling. Hung from ceiling above by two or more rods or cables. Fixture and rods or cables are either designed for seismic movements or are laterally braced to prevent sway.,"Peak Floor Acceleration, horizontal",g,1,"Disassembly of rod system at connections with horizontal light fixture, low cycle fatigue failure of the threaded rod, pullout of rods from ceiling assembly.",1.5,0.4,1.0
D1014.011-1,D1014.011,NIST,FEMA P-58,'',,FEM-2018-SEI,D1014.011,D1014,Traction Elevator,'','','','',"Traction Elevator – Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later. - Costing per elevator. Elevator demand parameter shall be defined as the peak floor acceleration at the first floor. The elevator fragility for a multiple story building should only be entered once on the first floor.","Peak Floor Acceleration, horizontal",g,1,"Controller anchorage failed, and or machine anchorage failed, and or motor generator anchorage failed, and or governor anchorage failed, and or rope guard failures.",0.39,0.45,0.26
