id,reference_id,specimen,reviewer,nistir_id,p58_db,p58_fragility,comp_type,sub_type,detailing,material,size_class,test_type,loading_protocol,peak_test_amplitude,location,design_objective,comp_description,ds_description,proir_damage,is_repaired,edp_metric,edp_unit,edp_value,alt_edp_metric,alt_edp_unit,alt_edp_value,ds_rank,ds_class,notes
exp1481a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Threaded rods,Not applicable,Steel,3/8 in. diameter,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"10mm (3/8 in) hanger rod - One end screwed and other end with serrated plate attachement - 500 mm long, ",buckling of the hanger rod and rotation of the pipe clamp,'',0,"Force, compression",Kips,0.629,'','',,,Consequential,Hanger Rod Assembly Compression Test 2
exp1482a,MUH-2022-SEI,81,NIST,D4011,FALSE,'',Fire sprinkler ,Threaded rods,Not applicable,Steel,3/8 in. diameter,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"10mm (3/8 in) hanger rod - One end screwed and other end with serrated plate attachement - 500 mm long, ",buckling of the hanger rod and rotation of the pipe clamp,'',0,"Force, compression",Kips,0.54,'','',,,Consequential,Hanger Rod Assembly Compression Test 3
exp1483a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Tube,Steel,"1-1/3 in. outer-dia
1/8 in. thickness","Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-1/3 in outer-dia, 1/8 in thickness, hollow circular rigid brace assembly with sharp ended bolt, Building attach component - 500 mm long, ",shear failure in the bolt,'',0,"Force, compression",Kips,5.642,'','',,,Consequential,"Rigid brace with building attached component assembly, failure disp = 0.543 in,  Compression Test 1"
exp1484a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Tube,Steel,"1-1/3 in. outer-dia
1/8 in. thickness","Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-1/3 in outer-dia, 1/8 in thickness, hollow circular rigid brace assembly with sharp ended bolt, Building attach component - 500 mm long, ",shear failure in the bolt,'',0,"Force, compression",Kips,5.62,'','',,,Consequential,"Rigid brace with building attached component assembly, failure disp = 0.488 in,  Compression Test 2"
exp1485a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Tube,Steel,"1-1/3 in. outer-dia
1/8 in. thickness","Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-1/3 in outer-dia, 1/8 in thickness, hollow circular rigid brace assembly with sharp ended bolt, Building attach component - 500 mm long, ",shear failure in the bolt,'',0,"Force, compression",Kips,5.777,'','',,,Consequential,"Rigid brace with building attached component assembly, failure disp = 0.472 in,  Compression Test 3"
exp1486a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,1-3/5 x1-3/5x0.06 in. ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-3/5 x1-3/5x0.06 in channel section, spring nut rigid brace assembly , Building attach component - 500 mm long, ",the hinge pressed against the channel section and deformed the channel section until finally the spring nut dislocated,'',0,"Force, compression",Kips,2.9,'','',,,Consequential,"Rigid brace with building attached component assembly, failure disp = 1.000 in,  Compression Test 1"
exp1487a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,1-3/5 x1-3/5x0.06 in. ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-3/5 x1-3/5x0.06 in channel section, spring nut rigid brace assembly , Building attach component - 500 mm long, ",the hinge pressed against the channel section and deformed the channel section until finally the spring nut dislocated,'',0,"Force, compression",Kips,1.619,'','',,,Consequential,"Rigid brace with building attached component assembly, failure disp = 0.685 in,  Compression Test 2"
exp1488a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,1-3/5 x1-3/5x0.06 in. ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-3/5 x1-3/5x0.06 in channel section, spring nut rigid brace assembly , Building attach component - 500 mm long, ",the hinge pressed against the channel section and deformed the channel section until finally the spring nut dislocated,'',0,"Force, compression",Kips,3.012,'','',,,Consequential,"Rigid brace with building attached component assembly, failure disp = 0.709 in,  Compression Test 3"
exp1489a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Tube,Steel,"1-1/3 in. outer-dia
1/8 in. thickness","Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-1/3 in outer-dia, 1/8 in thickness, hollow circular rigid brace assembly with sharp ended bolt, Pipe attach component - 500 mm long, ","pipe clamp rotated, which caused bending in the attachment component and eventually fractured",'',0,"Force, compression",Kips,4.136,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 1.291 in, Compression Test 1"
exp1490a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Tube,Steel,"1-1/3 in. outer-dia
1/8 in. thickness","Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-1/3 in outer-dia, 1/8 in thickness, hollow circular rigid brace assembly with sharp ended bolt, Pipe attach component - 500 mm long, ","pipe clamp rotated, which caused bending in the attachment component and eventually fractured",'',0,"Force, compression",Kips,5.935,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 1.283 in, Compression Test 2"
exp1491a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Tube,Steel,"1-1/3 in. outer-dia
1/8 in. thickness","Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-1/3 in outer-dia, 1/8 in thickness, hollow circular rigid brace assembly with sharp ended bolt, Pipe attach component - 500 mm long, ","pipe clamp rotated, which caused bending in the attachment component and eventually fractured",'',0,"Force, compression",Kips,6.452,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 1.598 in, Compression Test 3"
exp1492a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,1-3/5 x1-3/5x0.06 in. ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-3/5 x1-3/5x0.06 in channel section, spring nut rigid brace assembly ,Pipe attach component - 500 mm long, ","the pipe clamp bent until it touched the pipe
and nothing actually failed",'',0,"Force, compression",Kips,0.922,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 3.299 in, Compression Test 1"
exp1493a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,1-3/5 x1-3/5x0.06 in. ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-3/5 x1-3/5x0.06 in channel section, spring nut rigid brace assembly ,Pipe attach component - 500 mm long, ","the pipe clamp bent until it touched the pipe
and nothing actually failed",'',0,"Force, compression",Kips,1.012,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 1.717 in, Compression Test 2"
exp1494a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,1-3/5 x1-3/5x0.06 in. ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"1-3/5 x1-3/5x0.06 in channel section, spring nut rigid brace assembly ,Pipe attach component - 500 mm long, ","the pipe clamp bent until it touched the pipe
and nothing actually failed",'',0,"Force, compression",Kips,1.191,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 1.484 in, Compression Test 3"
exp1495a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,6/7x1-5/8x0.06 in ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"6/7x1-5/8x0.06 in channel section, serrated plate rigid brace assembly , Pipe attach component - 500 mm long, ",the brace element buckled,'',0,"Force, compression",Kips,4.968,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 0.768 in, Compression Test 1"
exp1496a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,6/7x1-5/8x0.06 in ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"6/7x1-5/8x0.06 in channel section, serrated plate rigid brace assembly , Pipe attach component - 500 mm long, ",the brace element buckled,'',0,"Force, compression",Kips,5.125,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 0.685 in, Compression Test 2"
exp1497a,MUH-2022-SEI,80,NIST,D4011,FALSE,'',Fire sprinkler ,Structural braces,Channel,Steel,6/7x1-5/8x0.06 in ,"Monotonic, compression",low speed of 0.02 in./sec,'',New Zealand,'',"6/7x1-5/8x0.06 in channel section, serrated plate rigid brace assembly , Pipe attach component - 500 mm long, ",the brace element buckled,'',0,"Force, compression",Kips,5.867,'','',,,Consequential,"Rigid brace with Pipe attached component assembly, failure disp = 0.681 in, Compression Test 3"
exp1511a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Braced,Black iron,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = black iron pipes (schedule 40) with threaded connections (2 in pipes)
Fully braced specimen (bracing systems installed according to NFPA 13. (1 in dia pipe braces and wire restrainers next at the ends of cantilever pipes on top level (no end pipe bracings on bottom floor)
",No damage (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,No Damage,"1. First mode natural frequency = 1.74 Hz
2. Damping = 8.7% of critical damping
3. Max acceleration recorded = 3.69g at the end of branch line
PFA as damage state intensity"
exp1512a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Braced,Black iron,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = black iron pipes (schedule 40) with threaded connections (2 in pipes)
Fully braced specimen (bracing systems installed according to NFPA 13. (1 in dia pipe braces and wire restrainers next at the ends of cantilever pipes on top level (no end pipe bracings on bottom floor)
",Yeilding of joint connections (66.7% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.43355,'','',,,Inconsequential,PFA as damage state intensity
exp1513a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,Black iron,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = black iron pipes (schedule 40) with threaded connections (2 in pipes)
Fully unbraced specimen
",One verical hanger buckled at the end of branch line (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,Inconsequential,"Max acceleration recorded = 4.129g at the end of bracnch line
PFA as damage state intensity"
exp1514a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,Black iron,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = black iron pipes (schedule 40) with threaded connections (2 in pipes)
Fully unbraced specimen
",Large opening is cut through in ceiling  tiles due to impact with sprinkler heads;Sprinkler head is activated as a result of collision with ceiling tile (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,Consequential,PFA as damage state intensity
exp1515a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,Black iron,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = black iron pipes (schedule 40) with threaded connections (2 in pipes)
Fully unbraced specimen
",Yeilding of joint connections (50% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.325,'','',,,Inconsequential,PFA as damage state intensity
exp1516a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Braced,CPVC,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 40 CPVC pipes with cement joints (2 in pipes)
Fully braced specimen (bracing systems installed according to NFPA 13. (1 in dia pipe braces and wire restrainers next at the ends of cantilever pipes on top level (no end pipe bracings on bottom floor)
",No damage (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,No Damage,"1. First mode natural frequency = 0.46 Hz
2. Damping = 12.7% of critical damping
3. Max acceleration recorded = 5.032g at the end of branch line interaction with ceiling tile
PFA as damage state intensity"
exp1517a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Braced,CPVC,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 40 CPVC pipes with cement joints (2 in pipes)
Fully braced specimen (bracing systems installed according to NFPA 13. (1 in dia pipe braces and wire restrainers next at the ends of cantilever pipes on top level (no end pipe bracings on bottom floor)
",Yielding of joint connections (25% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.1625,'','',,,Inconsequential,PFA as damage state intensity
exp1518a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,CPVC,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 40 CPVC pipes with cement joints (2 in pipes)
Fully unbraced system
",One Branch line fractured completely with severe water leakage (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,Consequential,"Max acceleration recorded =6.323 g at the end of bracnch line interacting with ceiling tile at 67% MCE. No recordings at 100% MCE. 
PFA as damage state intensity"
exp1519a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,CPVC,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 40 CPVC pipes with cement joints (2 in pipes)
Fully unbraced system
",Yielding of joint connections (25% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.1625,'','',,,Inconsequential,PFA as damage state intensity
exp1520a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,CPVC,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 40 CPVC pipes with cement joints (2 in pipes)
Fully unbraced system
",Severe damage of ceiling tiles occurs as a result of pounding with pendant sprinkler heads (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,Consequential,PFA as damage state intensity
exp1521a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Braced,Steel,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 7 Dyna-Flow steel pipes with groove-fit connections (2 in pipes)
Fully braced specimen (bracing systems installed according to NFPA 13. (1 in dia pipe braces and wire restrainers next at the ends of cantilever pipes on top level (no end pipe bracings on bottom floor)
",No damage (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,No Damage,"1. First mode natural frequency = 1.03 Hz
2. Damping = 9.9% of critical damping
3. Max acceleration recorded = 5.390 g at the end of branch line
PFA as damage state intensity"
exp1522a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Braced,Steel,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 7 Dyna-Flow steel pipes with groove-fit connections (2 in pipes)
Fully braced specimen (bracing systems installed according to NFPA 13. (1 in dia pipe braces and wire restrainers next at the ends of cantilever pipes on top level (no end pipe bracings on bottom floor)
",Yielding of joint connections (25% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.1625,'','',,,Inconsequential,PFA as damage state intensity
exp1523a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,Steel,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 7 Dyna-Flow steel pipes with groove-fit connections (2 in pipes)
Fully unbraced specimen
",Two branch lines leaked at the connections with the main run (100% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.65,'','',,,Consequential,"Max acceleration recorded = 5.037g at the end of branch line
PFA as damage state intensity"
exp1524a,YUA-2015-SEI,82,NIST,D4011,FALSE,'',Fire sprinkler ,Full system,Unbraced,Steel,Not applicable,"Dynamic, uniaxial","Spectral accelerations SDS=1 g and SD1=0.6 g, and a maximum inter-story drift ratio 3%","intensity of input motions for both platforms was increased from 25%, 50%, 66.7% (Design DE level), to 100% (MCE level)",University at Buffalo Nonstructural Component Simulator (UB-NCS),'',"The top level was designed to evaluate the seismic behavior of an unsupported elbow armover, a cross main line, as well as longitudinal and transverse branch lines. 
The bottom level was designed to assess the performance of a longitudinal main line and longer transverse branch lines subjected to earthquake shaking.
a total of six generic ceiling boxes supporting ceiling tiles were installed at various locations to assess potential failure mechanisms of sprinkler heads interacting with the suspended ceiling during earthquake shaking
The two levels of the specimen were connected together by a vertical riser
Main Line, Cross Main, and Vertical Riser: 10.2-cm steel pipes (schedule 10) with groove-fit connections (4 in pipes)
Flexible couplings were installed within 30.5 cm above and below the simulated floor slab.
pressure = 40 psi
10 mm hanger rods, 12g wire restrainers
Branch lines = Schedule 7 Dyna-Flow steel pipes with groove-fit connections (2 in pipes)
Fully unbraced specimen
",Yielding of joint connections (25% MCE),'',0,"Peak Floor Acceleration, horizontal",g,0.1625,'','',,,Inconsequential,PFA as damage state intensity
