id,reference_id,specimen,specimen_inspection_sequence,reviewer,component_id,comp_detail,material,size_class,test_type,loading_protocol,peak_test_amplitude,location,governing_design_standard,design_objective,comp_description,ds_description,prior_damage,prior_damage_repaired,edp_metric,edp_unit,edp_value,alt_edp_metric,alt_edp_unit,alt_edp_value,ds_rank,ds_class,notes
exp1672a,TAT-2018-INP,#10,'',NIST,C1011.A,Full height - Fixed,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Fixed",Detachment of joint tape,Drop of gypsum dust,No,Story Drift Ratio,Ratio,0.0072,'','',,,Inconsequential,''
exp1673a,TAT-2018-INP,#10,'',NIST,C1011.A,Full height - Fixed,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Fixed",Local plastic deformations of studs,Detachment of joint tape,No,Story Drift Ratio,Ratio,0.0142,'','',,,Inconsequential,''
exp1674a,TAT-2018-INP,#10,'',NIST,C1011.A,Full height - Fixed,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Fixed",Collapse of panel‐to‐frame fixings (≤5%),Local plastic deformations of studs,No,Story Drift Ratio,Ratio,0.0144,'','',,,inconsequential,''
exp1675a,TAT-2018-INP,#10,'',NIST,C1011.A,Full height - Fixed,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Fixed",Collapse of panel‐to‐frame fixings (>5%),Collapse of panel‐to‐frame fixings (≤5%),No,Story Drift Ratio,Ratio,0.021,'','',,,Consequential,''
exp1676a,TAT-2018-INP,#10,'',NIST,C1011.A,Full height - Fixed,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Fixed",Detachment between indoor partition walls and outdoor façade walls,Collapse of panel‐to‐frame fixings (>5%),No,Story Drift Ratio,Ratio,0.0377,'','',,,Consequential,''
exp1677a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Drop of gypsum dust,'',,Story Drift Ratio,Ratio,0.0047,'','',,,inconsequential,''
exp1678a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Detachment of joint tape,Drop of gypsum dust,No,Story Drift Ratio,Ratio,0.0047,'','',,,inconsequential,''
exp1679a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Local plastic deformations of studs,Detachment of joint tape,No,Story Drift Ratio,Ratio,0.0102,'','',,,inconsequential,''
exp1680a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Rupture of panel portions (>50 cm2),Local plastic deformations of studs,No,Story Drift Ratio,Ratio,0.0142,'','',,,Consequential,''
exp1681a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Collapse of panel‐to‐frame fixings (≤5%),Rupture of panel portions (>50 cm2),No,Story Drift Ratio,Ratio,0.0151,'','',,,inconsequential,''
exp1682a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Collapse of panel‐to‐frame fixings (>5%),Collapse of panel‐to‐frame fixings (≤5%),No,Story Drift Ratio,Ratio,0.02,'','',,,Consequential,''
exp1683a,TAT-2018-INP,#11,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Detachment between indoor partition walls and outdoor façade walls,Collapse of panel‐to‐frame fixings (>5%),No,Story Drift Ratio,Ratio,0.0299,'','',,,Consequential,''
exp1684a,TAT-2018-INP,#12,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Drop of gypsum dust,'',,Story Drift Ratio,Ratio,0.005,'','',,,inconsequential,''
exp1685a,TAT-2018-INP,#12,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Detachment of joint tape,Drop of gypsum dust,No,Story Drift Ratio,Ratio,0.005,'','',,,inconsequential,''
exp1686a,TAT-2018-INP,#12,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Collapse of panel‐to‐frame fixings (≤5%),Detachment of joint tape,No,Story Drift Ratio,Ratio,0.0101,'','',,,inconsequential,''
exp1687a,TAT-2018-INP,#12,'',NIST,C1011.A,Full height - Sliding,CFS,'',"Quasi-static Cyclic, uniaxial",FEMA 461: maximum interstory drift of 8.40%,8.4% drift of specimen,"University of Naples, Italy",'','',"1. The indoor partition wall is connected at its ends with transversal outdoor façade walls, top and bottom with structure
2. Wall dimensions: 2400 mm Long, 2700 mm High, and 125 mm Thick
3. Lightweight steel profiles: 
- Steel grade (DX51D+Z), 
- Studs (75mmx50mmx7.5mmx0.6mm) - (outside‐to‐outside web depth × outside‐to‐outside flange size × outside‐to‐outside lip size × thickness), 
- Tracks 75 × 40 × 0.6 mm (outside‐to‐outside web depth × outside‐to‐outside flange size × thickness) unlipped channel sections
4. Stud spacing: 600 mm
5. Sheathing panels: Double layer of 12.5‐mm‐thick standard gypsum boards for each wall face
6. Frame fixings: Punching
7. Panel-to-frame fixings: 
- 3.5 × 25 mm (nominal diameter × shank length) bugle head phosphated self‐piercing screws spaced at
700 mm on center for the installation of the internal panel laye, 
- 3.5 × 35‐mm bugle head phosphated self‐piercing screws spaced at 250 mm on center for the installation
of the external panel layer
8. Joint finishing: 
- Joints in the field: paper tape fixed with gypsum‐based plaster
- Joints at the perimeter : self‐adhesive paper tape
9. Wall‐to‐surrounding structural element connections: 6 × 35 mm (drilling hole diameter × minimum anchorage length) plastic dowels for fixed connections or 8 × 80‐mm plastic dowels for sliding connections, spaced at 500 mm on center at the wall top and bottom and 600 mm on center at the wall ends
10. Horizontal connection: Sliding",Local plastic deformations of studs,Collapse of panel‐to‐frame fixings (≤5%),No,Story Drift Ratio,Ratio,0.0102,'','',,,inconsequential,''
