id,reference_id,p58_fragility,component_id,comp_detail,material,size_class,comp_description
B3031.002c,FEM-2018-SEI,B3031.002c,B2012.A,'','','',"Masonry Chimney - unreinforced, non industrial, above roof 15 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors."
B3041.001,FEM-2018-SEI,B3041.001,B2012.A,'','','',"Masonry Parapet - unreinforced, unbraced - Unreinforced and unbraced masonry parapet as a component of a masonry building. Parapet height / width of approximately 3. Costing based upon repair of 3ft tall x 10ft segment."
C1011.001a,FEM-2018-SEI,C1011.001a,C1011.A,'','','',"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state."
C1011.001b,FEM-2018-SEI,C1011.001b,C1011.A,'','','',"Wall Partition, Type: Gypsum with metal studs, Partial Height, Fixed Below, Lateral Braced Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state."
C1011.001c,FEM-2018-SEI,C1011.001c,C1011.A,'','','',"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above with returns - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state."
C1011.001d,FEM-2018-SEI,C1011.001d,C1011.A,'','','',"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above w/o returns (friction connections) - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state."
C1011.011a,FEM-2018-SEI,C1011.011a,C1011.B,'','','',"Wall Partition, Type: Gypsum with wood studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state."
C2011.001a,FEM-2018-SEI,C2011.001a,C2011.A,'','','',"Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift. - Flexible stair with seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads."
C2011.001b,FEM-2018-SEI,C2011.001b,C2011.A,'','','',"Prefabricated steel stair with steel treads and landings with no seismic joint. - Flexible stair without seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads."
C2011.011a,FEM-2018-SEI,C2011.011a,C2011.B,'','','',Non-monolithic precast concrete stair assembly with concrete stringers and treads with seismic joints that accommodate drift. - Rigid stair with seismic interstory drift joint. Precast concrete stair.
C2011.011b,FEM-2018-SEI,C2011.011b,C2011.B,'','','',Non-monolithic precast concrete stair assembly with concrete stringers and treads with no seismic joint. - Rigid stair without seismic interstory drift joint. Precast concrete stair.
C2011.021a,FEM-2018-SEI,C2011.021a,C2011.C,'','','',"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace in kind if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint"
C2011.021b,FEM-2018-SEI,C2011.021b,C2011.C,'','','',"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace in kind if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint"
C2011.021c,FEM-2018-SEI,C2011.021c,C2011.C,'','','',"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint"
C2011.021d,FEM-2018-SEI,C2011.021d,C2011.C,'','','',"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint"
C2011.031a,FEM-2018-SEI,C2011.031a,C2011.D,'','','',Hybrid stair assembly with steel stringers and concrete treads and landings with seismic joints that accommodate drift. - Stair consists of steel stringers with precast treads rigidly linked to stringer
C2011.031b,FEM-2018-SEI,C2011.031b,C2011.D,'','','',Hybrid stair assembly with steel stringers and concrete treads and landings with no seismic joints. - Stair consists of steel stringers with precast treads rigidly linked to stringer
C3011.001a,FEM-2018-SEI,C3011.001a,C3012.A,'','','',"Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Fixed Above - Costing based upon 9'x100' Panels"
C3011.001b,FEM-2018-SEI,C3011.001b,C3012.A,'','','',"Wall Partition, Type: Gypsum + Wallpaper, Partial Height, Fixed Below, Lateral Braced Above - Costing based upon 9'x100' Panels"
C3011.001c,FEM-2018-SEI,C3011.001c,C3012.A,'','','',"Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Slip Track Above w/ returns (friction connection) - Costing based upon 9'x100' Panels"
C3011.001d,FEM-2018-SEI,C3011.001d,C3012.A,'','','',"Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Slip Track Above w/o returns (friction connection) - Costing based upon 9'x100' Panels"
C3011.002a,FEM-2018-SEI,C3011.002a,C3012.A,'','','',"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Fixed Above - Costing based upon 9'x100' Panels"
C3011.002b,FEM-2018-SEI,C3011.002b,C3012.A,'','','',"Wall Partition, Type: Gypsum + Ceramic Tile, Partial Height, Fixed Below, Lateral Braced Above - Costing based upon 9'x100' Panels"
C3011.002c,FEM-2018-SEI,C3011.002c,C3012.A,'','','',"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Slip Track Above w/ returns (friction connection) - Costing based upon 9'x100' Panels"
C3011.002d,FEM-2018-SEI,C3011.002d,C3012.A,'','','',"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Slip Track Above w/o returns (friction connection) - Costing based upon 9'x100' Panels"
C3011.003a,FEM-2018-SEI,C3011.003a,C3012.A,'','','',"Wall Partition, Type: High End Marble or Wood Panel, Full Height, Fixed Below, Fixed Above - Costing based upon 9'x100' Panels"
C3011.003b,FEM-2018-SEI,C3011.003b,C3012.A,'','','',"Wall Partition, Type: High End Marble or Wood Panel, Partial Height, Fixed Below, Lateral Braced Above - Costing based upon 9'x100' Panels"
C3011.003c,FEM-2018-SEI,C3011.003c,C3012.A,'','','',"Wall Partition, Type: High End Marble or Wood Panel, Full Height, Fixed Below, Slip Track Above w/ returns (friction connection) - Costing based upon 9'x100' Panels"
C3011.003d,FEM-2018-SEI,C3011.003d,C3012.A,'','','',"Wall Partition, Type: High End Marble or Wood Panel, Full Height, Fixed Below, Slip Track Above w/o returns (friction connection) - Costing based upon 9'x100' Panels"
C3021.001a,FEM-2018-SEI,C3021.001a,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Office - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet or vinyl. Available costs are per one square foot of floor area."
C3021.001b,FEM-2018-SEI,C3021.001b,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Office - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet or vinyl. Available costs are per one square foot of floor area."
C3021.001c,FEM-2018-SEI,C3021.001c,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Laboratory - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sheet vinyl. Available costs are per one square foot of floor area."
C3021.001d,FEM-2018-SEI,C3021.001d,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Laboratory - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sheet vinyl. Available costs are per one square foot of floor area."
C3021.001e,FEM-2018-SEI,C3021.001e,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospital - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sheet vinyl. Available costs are per one square foot of floor area."
C3021.001f,FEM-2018-SEI,C3021.001f,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospital - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sheet vinyl. Available costs are per one square foot of floor area."
C3021.001g,FEM-2018-SEI,C3021.001g,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - School - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area."
C3021.001h,FEM-2018-SEI,C3021.001h,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - School - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area."
C3021.001i,FEM-2018-SEI,C3021.001i,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Apartments - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area."
C3021.001j,FEM-2018-SEI,C3021.001j,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Apartments - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area."
C3021.001k,FEM-2018-SEI,C3021.001k,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area."
C3021.001l,FEM-2018-SEI,C3021.001l,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be vinyl composition tile. Available costs are per one square foot of floor area."
C3021.001m,FEM-2018-SEI,C3021.001m,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Warehouse - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sealed concrete. Available costs are per one square foot of floor area."
C3021.001n,FEM-2018-SEI,C3021.001n,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Warehouse - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be sealed concrete. Available costs are per one square foot of floor area."
C3021.001o,FEM-2018-SEI,C3021.001o,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospitality - Dry - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area."
C3021.001p,FEM-2018-SEI,C3021.001p,C3021.A,'','','',"Generic Floor Covering - Flooding of floor caused by failure of pipe - Hospitality - Humid - The user needs to review the fragilities of all piping modeled in the ceiling of the floor and input the peak floor acceleration value for the pipe with the lowest median peak floor acceleration value, along with the associated total dispersion (beta). Flooring type assumed to be carpet. Available costs are per one square foot of floor area."
C3027.001,FEM-2018-SEI,C3027.001,C3027.A,'','','',"Raised Access Floor, non seismically rated. - Access floor unanchored or anchored with adhesive. Costing is based upon a xxx SF floor area."
C3027.002,FEM-2018-SEI,C3027.002,C3027.A,'','','',"Raised Access Floor, seismically rated. - Access floor is designed to meet code requirements and mechanically anchored and braced as necessary to resist anchor loads. Equipment is anchored to floor systems and heavier equipment is anchored directly to the structural floor. Costing is based upon a xxx SF floor area."
C3032.001a,FEM-2018-SEI,C3032.001a,C3032.A,'','','',"Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling."
C3032.001b,FEM-2018-SEI,C3032.001b,C3032.A,'','','',"Suspended Ceiling, SDC A,B,C, Area (A): 250 < A < 1000, Vert support only - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling."
C3032.001c,FEM-2018-SEI,C3032.001c,C3032.A,'','','',"Suspended Ceiling, SDC A,B,C, Area (A): 1000 < A < 2500, Vert support only - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling."
C3032.001d,FEM-2018-SEI,C3032.001d,C3032.A,'','','',"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wires only. Includes lighting fixtures in suspended ceiling."
C3032.003a,FEM-2018-SEI,C3032.003a,C3032.A,'','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.003b,FEM-2018-SEI,C3032.003b,C3032.A,'','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.003c,FEM-2018-SEI,C3032.003c,C3032.A,'','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.003d,FEM-2018-SEI,C3032.003d,C3032.A,'','','',"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.004a,FEM-2018-SEI,C3032.004a,C3032.A,'','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A < 250, Vert & Lat support - Costing for each 250 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.004b,FEM-2018-SEI,C3032.004b,C3032.A,'','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 250 < A < 1000, Vert & Lat support - Costing for each 600 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.004c,FEM-2018-SEI,C3032.004c,C3032.A,'','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): 1000 < A < 2500, Vert & Lat support - Costing for each 1800 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3032.004d,FEM-2018-SEI,C3032.004d,C3032.A,'','','',"Suspended Ceiling, SDC D,E,F (Ip=1.5), Area (A): A > 2500, Vert & Lat support - Costing for each 2500 SF Unit, Suspended Lay-in Acoustic Tile Ceiling, Support: Vertical hanging wire, diagonal wires, and compression posts, 2 inch wide ledger support angles at wall and oversize holes around tile openings. Includes lighting fixtures in suspended ceiling."
C3034.001,FEM-2018-SEI,C3034.001,D5022.A,'','','',Independent Pendant Lighting - non seismic - Horizontal light fixtures 4 to 16 ft long suspended 12 to 24 inches from ceiling. No seismic design or bracing. Hung from ceiling above by two or more rods or cables.
C3034.002,FEM-2018-SEI,C3034.002,D5022.A,'','','',Independent Pendant Lighting - seismically rated - Horizontal light fixtures 4 to 16 ft long suspended 12 to 24 inches from ceiling. Hung from ceiling above by two or more rods or cables. Fixture and rods or cables are either designed for seismic movements or are laterally braced to prevent sway.
D1014.011,FEM-2018-SEI,D1014.011,D1011.A,'','','',"Traction Elevator – Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later. - Costing per elevator. Elevator demand parameter shall be defined as the peak floor acceleration at the first floor. The elevator fragility for a multiple story building should only be entered once on the first floor."
D1014.012,FEM-2018-SEI,D1014.012,D1011.A,'','','',"Traction Elevator – Applies to most California Installations prior to 1976, most western states installations prior to 1982 and most other U.S installations prior to 1998. - Costing per elevator. Elevator demand parameter shall be defined as the peak floor acceleration at the first floor. The elevator fragility for a multiple story building should only be entered once on the first floor."
D1014.021,FEM-2018-SEI,D1014.021,D1011.B,'','','',"Hydraulic Elevator – Applies to most California Installations 1976 or later, most western states installations postdating 1982 and most U.S installations postdating 1998. - Costing per elevator. Elevator demand parameter shall be defined as the peak floor acceleration at the first floor. The elevator fragility for a multiple story building should only be entered once on the first floor."
D1014.022,FEM-2018-SEI,D1014.022,D1011.B,'','','',"Hydraulic Elevator – Applies to most California Installations prior to 1976, most western states installations prior to 1982 and most U.S installations prior to 1998. - Costing per elevator. Elevator demand parameter shall be defined as the peak floor acceleration at the first floor. The elevator fragility for a multiple story building should only be entered once on the first floor."
D2061.023a,FEM-2018-SEI,D2061.023a,D3043.A,'','','',"Steam Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F, PIPING FRAGILITY - Costing based upon 1000 ft segments of pipe, pipe greater than 2.5 inches in diameter"
D2061.023b,FEM-2018-SEI,D2061.023b,D3043.A,'','','',"Steam Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F, BRACING FRAGILITY - Costing based upon 1000 ft segments of pipe, pipe greater than 2.5 inches in diameter"
D2061.024a,FEM-2018-SEI,D2061.024a,D3043.A,'','','',"Steam Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F (OSHPD or sim), PIPING FRAGILITY - Costing based upon 1000 ft segments of pipe, pipe greater than 2.5 inches in diameter"
D2061.024b,FEM-2018-SEI,D2061.024b,D3043.A,'','','',"Steam Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F (OSHPD or sim), BRACING FRAGILITY - Costing based upon 1000 ft segments of pipe, pipe greater than 2.5 inches in diameter"
D3031.011a,FEM-2018-SEI,D3031.011a,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 75 Ton.
D3031.011b,FEM-2018-SEI,D3031.011b,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 250 Ton.
D3031.011c,FEM-2018-SEI,D3031.011c,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 500 Ton.
D3031.011d,FEM-2018-SEI,D3031.011d,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 850 Ton.
D3031.012a,FEM-2018-SEI,D3031.012a,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Vibration isolated equipment that is not snubbed or restrained - Anchorage fragility only - Costing is per unit and is based upon 75 Ton.
D3031.012b,FEM-2018-SEI,D3031.012b,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Vibration isolated equipment that is not snubbed or restrained - Equipment fragility only - Costing is per unit and is based upon 75 Ton.
D3031.012c,FEM-2018-SEI,D3031.012c,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Vibration isolated equipment that is not snubbed or restrained - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 75 Ton.
D3031.012d,FEM-2018-SEI,D3031.012d,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Vibration isolated equipment that is not snubbed or restrained - Anchorage fragility only - Costing is per unit and is based upon 250 Ton.
D3031.012e,FEM-2018-SEI,D3031.012e,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Vibration isolated equipment that is not snubbed or restrained - Equipment fragility only - Costing is per unit and is based upon 250 Ton.
D3031.012f,FEM-2018-SEI,D3031.012f,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Vibration isolated equipment that is not snubbed or restrained - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 250 Ton.
D3031.012g,FEM-2018-SEI,D3031.012g,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Vibration isolated equipment that is not snubbed or restrained - Anchorage fragility only - Costing is per unit and is based upon 500 Ton.
D3031.012h,FEM-2018-SEI,D3031.012h,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Vibration isolated equipment that is not snubbed or restrained - Equipment fragility only - Costing is per unit and is based upon 500 Ton.
D3031.012i,FEM-2018-SEI,D3031.012i,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Vibration isolated equipment that is not snubbed or restrained - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 500 Ton.
D3031.012j,FEM-2018-SEI,D3031.012j,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Vibration isolated equipment that is not snubbed or restrained - Anchorage fragility only - Costing is per unit and is based upon 850 Ton.
D3031.012k,FEM-2018-SEI,D3031.012k,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Vibration isolated equipment that is not snubbed or restrained - Equipment fragility only - Costing is per unit and is based upon 850 Ton.
D3031.012l,FEM-2018-SEI,D3031.012l,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Vibration isolated equipment that is not snubbed or restrained - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 850 Ton.
D3031.013a,FEM-2018-SEI,D3031.013a,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Anchorage fragility only - Costing is per unit and is based upon 75 Ton.
D3031.013b,FEM-2018-SEI,D3031.013b,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only - Costing is per unit and is based upon 75 Ton.
D3031.013c,FEM-2018-SEI,D3031.013c,D3031.A,'','','',Chiller - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 75 Ton.
D3031.013d,FEM-2018-SEI,D3031.013d,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Anchorage fragility only - Costing is per unit and is based upon 250 Ton.
D3031.013e,FEM-2018-SEI,D3031.013e,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only - Costing is per unit and is based upon 250 Ton.
D3031.013f,FEM-2018-SEI,D3031.013f,D3031.A,'','','',Chiller - Capacity: 100 to <350 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 250 Ton.
D3031.013g,FEM-2018-SEI,D3031.013g,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Anchorage fragility only - Costing is per unit and is based upon 500 Ton.
D3031.013h,FEM-2018-SEI,D3031.013h,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only - Costing is per unit and is based upon 500 Ton.
D3031.013i,FEM-2018-SEI,D3031.013i,D3031.A,'','','',Chiller - Capacity: 350 to <750 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 500 Ton.
D3031.013j,FEM-2018-SEI,D3031.013j,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Anchorage fragility only - Costing is per unit and is based upon 850 Ton.
D3031.013k,FEM-2018-SEI,D3031.013k,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only - Costing is per unit and is based upon 850 Ton.
D3031.013l,FEM-2018-SEI,D3031.013l,D3031.A,'','','',Chiller - Capacity: 750 to <1000 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 850 Ton.
D3031.021a,FEM-2018-SEI,D3031.021a,D3031.B,'','','',Cooling Tower - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 75 Ton.
D3031.021b,FEM-2018-SEI,D3031.021b,D3031.B,'','','',Cooling Tower - Capacity: 100 to <350 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 250 Ton.
D3031.021c,FEM-2018-SEI,D3031.021c,D3031.B,'','','',Cooling Tower - Capacity: 350 to <750 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 500 Ton.
D3031.021d,FEM-2018-SEI,D3031.021d,D3031.B,'','','',Cooling Tower - Capacity: 750 to <1000 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only - Costing is per unit and is based upon 850 Ton.
D3031.022a,FEM-2018-SEI,D3031.022a,D3031.B,'','','',Cooling Tower - Capacity: < 100 Ton - Vibration isolated equipment that is not snubbed or restrained - Anchorage fragility only - Costing is per unit and is based upon 75 Ton.
D3031.022b,FEM-2018-SEI,D3031.022b,D3031.B,'','','',Cooling Tower - Capacity: < 100 Ton - Vibration isolated equipment that is not snubbed or restrained - Equipment fragility only - Costing is per unit and is based upon 75 Ton.
D3031.022c,FEM-2018-SEI,D3031.022c,D3031.B,'','','',Cooling Tower - Capacity: < 100 Ton - Vibration isolated equipment that is not snubbed or restrained - Combined anchorage/isolator & equipment fragility - Costing is per unit and is based upon 75 Ton.
D3031.022d,FEM-2018-SEI,D3031.022d,D3031.B,'','','',Cooling Tower - Capacity: 100 to <350 Ton - Vibration isolated equipment that is not snubbed or restrained - Anchorage fragility only - Costing is per unit and is based upon 250 Ton.
